"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"766","38992016",NA,NA,NA,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","39177963",18.75,15,20,30,15,40,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","39179753",13.3333333333333,10,15,20,10,30,15,15,15,45.3333333333333,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","39268214",17.5,15,20,35,35,35,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","39384513",15,15,15,15,15,15,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","39387899",16.6666666666667,15,20,65,65,65,27.5,20,35,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","39435019",55,35,65,26.6666666666667,20,40,21.6666666666667,15,35,38.3333333333333,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","40765438",18.3333333333333,15,20,35,30,40,23.3333333333333,15,35,35,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","41631902",15,15,15,NA,NA,NA,31.6666666666667,20,40,46.6666666666667,30,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","41632550",NA,NA,NA,25,15,35,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","42008677",36.6666666666667,20,60,45,35,65,45,30,65,37.5,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","42061051",10,10,10,10,10,10,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778","42128788",12.5,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","42271248",15,15,15,40,40,40,NA,NA,NA,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","42701708",NA,NA,NA,30,30,30,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","42762856",16.6666666666667,15,20,48.3333333333333,40,60,25,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","42767896",15,15,15,60,60,60,NA,NA,NA,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","42772039",15,15,15,40,40,40,15,15,15,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
