"","field_1","start_p10","lon","lat","altitude","dpto_ccdgo","mpio_ccdgo","zu_ccdgo","zu_cdivi","setu_ccdgo","setu_ccnct","secu_ccdgo","secu_ccnct","manz_ccdgo","manz_ccnct","cod_ctstr","manz_narea","manz_lati","manz_long","shape_Leng","shape_Area","MANZ_VIV","FT_ACT_VIV","Municipio"
"434",124,1080835928,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"435",125,10885223,-74.816841,10.928265,72,"08","001","000","08001000","2902","080011000000002902","11","08001100000000290211","12","0800110000000029021112","0800101090233",2103.93351835,10.9280556289,-74.8169298185,0.00178698206,1.7397e-07,18,"VIV_CNPV2018","Baranquilla"
"436",127,1107036712,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"437",128,1107038099,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"438",129,1107062248,-76.5636875,3.3891875,1126,"76","001","000","76001000","1814","760011000000001814","10","76001100000000181410","14","7600110000000018141014","0000000000000",3546.74589043,3.38917741088,-76.563816755,0.0021380056,2.8809e-07,39,"RECUENTO 2022","Cali"
"439",130,1107077651,-76.565247,3.4178259,1079,"76","001","000","76001000","2005","760011000000002005","01","76001100000000200501","09","7600110000000020050109","0000000000000",3261.29286263,3.41772436237,-76.5651181951,0.00264463155,2.6491e-07,31,"VIV_CNPV2018","Cali"
"440",132,1107090332,-76.565285,3.4168329,1067,"76","001","000","76001000","2005","760011000000002005","01","76001100000000200501","51","7600110000000020050151","0000000000000",1442.70735024,3.41692996177,-76.5655550371,0.00188917593,1.1719e-07,26,"VIV_CNPV2018","Cali"
"441",133,1107096112,-76.559494,3.423727,1157,"76","001","000","76001000","2008","760011000000002008","03","76001100000000200803","18","7600110000000020080318","0000000000000",2246.4657019,3.42371231457,-76.5595669228,0.00176758197,1.8248e-07,10,"VIV_CNPV2018","Cali"
"442",134,1107101692,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"443",135,1107511494,-76.564835,3.4171009,1045,"76","001","000","76001000","2005","760011000000002005","01","76001100000000200501","08","7600110000000020050108","0000000000000",985.137065966,3.41719260833,-76.5648063754,0.00117638972,8.002e-08,21,"VIV_CNPV2018","Cali"
"444",136,1107511973,-76.565216,3.4180579,1079,"76","001","000","76001000","2005","760011000000002005","02","76001100000000200502","16","7600110000000020050216","0000000000000",1284.6823923,3.41805986622,-76.5650381907,0.00177902801,1.0435e-07,19,"VIV_CNPV2018","Cali"
"445",137,1107528203,-76.5553256,3.3942012,972,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"446",139,1112459228,-76.5553256,3.3942012,972,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"447",140,1112460885,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"448",141,1112464691,-76.5601458,3.391303,1069,"76","001","000","76001000","1814","760011000000001814","04","76001100000000181404","57","7600110000000018140457","0000000000000",5321.34214687,3.39107087634,-76.5605698324,0.0036201274,4.3223e-07,34,"VIV_CNPV2018","Cali"
"449",142,1112473004,-76.567154,3.421422,1153,"76","001","000","76001000","2006","760011000000002006","03","76001100000000200603","19","7600110000000020060319","0000000000000",15272.9424845,3.42078737226,-76.5671003411,0.01104073166,1.24059e-06,93,"VIV_CNPV2018","Cali"
"450",143,1114729169,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"451",144,1114731315,-76.562378,3.4230831,1102,"76","001","000","76001000","2006","760011000000002006","04","76001100000000200604","34","7600110000000020060434","0000000000000",2467.09089029,3.42274170389,-76.5624407316,0.0021226342,2.004e-07,46,"RECUENTO 2021","Cali"
