"","ID_H"
"604","0484"
"605","0486"
"606","0488"
"607","0488"
"608","0489"
"609","0489"
"610","0492"
"611","0492"
"612","0493"
"613","0495"
"614","0496"
"615","0498"
"616","0498"
"617","0499"
"618","0500"
"619","0502"
"620","0502"
"621","0502"
"622","0502"
"623","0503"
"624","0504"
"625","0505"
"626","0506"
"627","0507"
"628","0508"
"629","0508"
"630","0509"
"631","0509"
"632","0510"
"633","0510"
"634","0510"
"635","0510"
"636","0511"
"637","0512"
"638","0512"
"639","0512"
"640","0514"
"641","0515"
"642","0516"
"643","0516"
"644","0516"
"645","0516"
"646","0517"
"647","0519"
"648","0520"
"649","0520"
"650","0521"
"651","0522"
"652","0522"
"653","0523"
"654","0524"
"655","0526"
"656","0527"
"657","0527"
"658","0534"
"659","0535"
"660","0537"
"661","0538"
"662","0538"
"663","0538"
"664","0539"
"665","0539"
"666","0539"
"667","0540"
"668","0542"
"669","0542"
"670","0542"
"671","0542"
"672","0543"
"673","0544"
"674","0544"
"675","0545"
"676","0547"
"677","0548"
"678","0549"
"679","0550"
"680","0552"
"681","0553"
"682","0556"
"683","0557"
"684","0560"
"685","0560"
"686","0560"
"687","0561"
"688","0561"
"689","0562"
"690","0563"
"691","0566"
"692","0567"
"693","0567"
"694","0567"
"695","0569"
"696","0572"
"697","0572"
"698","0573"
"699","0573"
"700","0573"
"701","0573"
"702","0574"
"703","0575"
"704","0576"
"705","0576"
"706","0580"
"707","0581"
"708","0581"
"709","0581"
"710","0582"
"711","0582"
"712","0583"
"713","0584"
"714","0584"
"715","0587"
"716","0588"
"717","0590"
"718","0591"
"719","0591"
"720","0591"
"721","0592"
"722","0592"
"723","0592"
"724","0592"
"725","0593"
"726","0594"
"727","0594"
"728","0594"
"729","0594"
"730","0597"
"731","0597"
"732","0598"
"733","0599"
"734","0600"
"735","0600"
"736","0602"
"737","0602"
"738","0602"
"739","0603"
"740","0605"
"741","0606"
"742","0606"
"743","0606"
"744","0607"
"745","0608"
"746","0609"
"747","0609"
"748","0610"
"749","0610"
"750","0610"
"751","0610"
"752","0611"
"753","0614"
"754","0614"
"755","0618"
"756","0618"
"757","0620"
"758","0621"
"759","0621"
"760","0621"
"761","0622"
"762","0623"
"763","0623"
"764","0625"
"765","0626"
"766","0627"
"767","0628"
"768","0628"
"769","0629"
"770","0629"
"771","0629"
"772","0630"
"773","0631"
"774","0633"
"775","0633"
"776","0633"
"777","0633"
"778","0635"
"779","0635"
"780","0636"
"781","0636"
"782","0636"
"783","0636"
"784","0637"
"785","0637"
"786","0637"
"787","0638"
"788","0639"
"789","0640"
"790","0640"
"791","0640"
"792","0642"
"793","0642"
"794","0643"
"795","0643"
"796","0646"
"797","0646"
"798","0647"
"799","0647"
"800","0651"
"801","0653"
"802","0653"
"803","0654"
"804","0654"
"805","0654"
"806","0654"
"807","0655"
"808","0656"
"809","0656"
"810","0657"
"811","0657"
"812","0658"
"813","0659"
"814","0660"
"815","0661"
"816","0661"
"817","0661"
"818","0663"
"819","0663"
"820","0664"
"821","0664"
"822","0664"
"823","0664"
"824","0665"
"825","0666"
"826","0666"
"827","0667"
"828","0668"
"829","0672"
"830","0672"
"831","0674"
"832","0675"
"833","0677"
"834","0679"
"835","0680"
"836","0680"
"837","0681"
"838","0681"
"839","0681"
"840","0682"
"841","0684"
"842","0684"
"843","0686"
"844","0686"
"845","0686"
"846","0687"
"847","0690"
"848","0693"
"849","0693"
"850","0693"
"851","0693"
"852","0694"
"853","0695"
"854","0695"
"855","0696"
"856","0699"
"857","0700"
"858","0702"
"859","0702"
"860","0705"
"861","0706"
"862","0707"
"863","0707"
"864","0707"
"865","0707"
"866","0707"
"867","0707"
"868","0707"
"869","0709"
"870","0710"
"871","0711"
"872","0712"
"873","0712"
"874","0713"
"875","0713"
"876","0714"
"877","0714"
"878","0720"
"879","0720"
"880","0720"
"881","0720"
"882","0720"
"883","0723"
"884","0724"
"885","0726"
"886","0726"
"887","0726"
"888","0726"
"889","0728"
"890","0728"
"891","0732"
"892","0733"
"893","0735"
"894","0736"
"895","0738"
"896","0738"
"897","0738"
"898","0741"
"899","0746"
"900","0747"
"901","0747"
"902","0747"
"903","0748"
"904","0751"
"905","0751"
"906","0752"
"907","0753"
"908","0753"
"909","0754"
"910","0754"
"911","0755"
"912","0755"
"913","0756"
"914","0757"
"915","0758"
"916","0759"
"917","0761"
"918","0761"
"919","0761"
"920","0762"
"921","0764"
"922","0764"
"923","0764"
"924","0766"
"925","0767"
"926","0767"
"927","0767"
"928","0768"
"929","0769"
"930","0769"
"931","0769"
"932","0772"
"933","0772"
"934","0772"
"935","0772"
"936","0772"
"937","0772"
"938","0772"
"939","0773"
"940","0774"
"941","0774"
"942","0775"
"943","0775"
"944","0775"
"945","0776"
"946","0776"
"947","0776"
"948","0779"
"949","0779"
"950","0780"
"951","0780"
"952","0782"
"953","0782"
"954","0784"
"955","0786"
"956","0787"
"957","0787"
"958","0788"
"959","0790"
"960","0790"
"961","0791"
"962","0791"
"963","0792"
"964","0793"
"965","0795"
"966","0795"
"967","0795"
"968","0798"
"969","0798"
"970","0799"
"971","0800"
"972","0800"
"973","0801"
"974","0801"
"975","0801"
"976","0802"
"977","0803"
"978","0803"
"979","0804"
"980","0804"
"981","0805"
"982","0806"
"983","0807"
"984","0807"
"985","0807"
"986","0808"
"987","0808"
"988","0808"
"989","0809"
"990","0810"
"991","0811"
"992","0811"
"993","0813"
"994","0813"
"995","0813"
"996","0813"
"997","0813"
"998","0814"
"999","0815"
"1000","0816"
"1001","0816"
"1002","0817"
"1003","0817"
"1004","0818"
"1005","0820"
"1006","0820"
"1007","0822"
"1008","0822"
"1009","0822"
"1010","0823"
"1011","0823"
"1012","0823"
"1013","0825"
"1014","0825"
